,prior_logpdf,llh,posterior_logpdf
0,-24.62214512743217,-34.57407339184704,-59.19621851927921
1,-24.62214512743217,-34.57407339184704,-59.19621851927921
2,-25.871178880371108,-30.053488374520434,-55.92466725489154
3,-25.84797900407364,-29.733184666312546,-55.58116367038618
4,-25.9057506435621,-29.34382570351997,-55.24957634708207
5,-25.899031761102748,-29.566240869072644,-55.46527263017538
6,-25.899031761102748,-29.566240869072644,-55.46527263017538
7,-25.899031761102748,-29.566240869072644,-55.46527263017538
8,-25.84013356047819,-29.77620938592689,-55.61634294640508
9,-25.87910561163139,-30.00670596806496,-55.88581157969635
10,-26.01904266465853,-29.495891935492768,-55.51493460015131
11,-26.08297890840916,-29.634392491149274,-55.71737139955843
12,-25.97529986962252,-29.61627279945156,-55.591572669074075
13,-25.97529986962252,-29.61627279945156,-55.591572669074075
14,-25.97529986962252,-29.61627279945156,-55.591572669074075
15,-25.97529986962252,-29.61627279945156,-55.591572669074075
16,-25.97930005047153,-29.402281023456048,-55.38158107392758
17,-25.91437818445149,-29.061222055168944,-54.97560023962043
18,-25.91437818445149,-29.061222055168944,-54.97560023962043
19,-25.91437818445149,-29.061222055168944,-54.97560023962043
20,-25.91437818445149,-29.061222055168944,-54.97560023962043
21,-26.068941309111352,-29.094357948717075,-55.16329925782843
22,-26.068941309111352,-29.094357948717075,-55.16329925782843
23,-26.068941309111352,-29.094357948717075,-55.16329925782843
24,-26.047201969707444,-28.84413722571012,-54.891339195417565
25,-26.047201969707444,-28.84413722571012,-54.891339195417565
26,-26.22093848997091,-28.7507164478505,-54.971654937821405
27,-26.22093848997091,-28.7507164478505,-54.971654937821405
28,-26.283775924218286,-30.156809865878092,-56.44058579009638
29,-26.22665620754941,-30.58217714626645,-56.80883335381587
30,-26.171825085445352,-30.003665737486447,-56.17549082293181
31,-26.29989968702637,-29.77753018498305,-56.07742987200942
32,-26.21104958553661,-28.97847659948063,-55.18952618501724
33,-26.21104958553661,-28.97847659948063,-55.18952618501724
34,-26.253608024836346,-28.6175090300611,-54.87111705489746
35,-26.146775364996877,-29.42043526628075,-55.56721063127764
36,-26.1465005821075,-29.827389900224198,-55.973890482331704
37,-26.1465005821075,-29.827389900224198,-55.973890482331704
38,-26.161441089637226,-29.720160293993445,-55.881601383630674
39,-26.161441089637226,-29.720160293993445,-55.881601383630674
40,-26.27977237195881,-29.146359982332438,-55.42613235429125
41,-26.55268739652273,-29.140453514119073,-55.693140910641795
42,-26.07274299900171,-29.764408144945744,-55.83715114394745
43,-26.020941808255248,-29.94057620996726,-55.96151801822252
44,-26.08860808722277,-29.46094147311217,-55.54954956033495
45,-26.08860808722277,-29.46094147311217,-55.54954956033495
46,-26.001406808192,-30.003846640969385,-56.00525344916139
47,-25.870532169843674,-30.39101978515598,-56.261551954999646
48,-25.870532169843674,-30.39101978515598,-56.261551954999646
49,-26.114724982929182,-29.559287037152124,-55.674012020081314
50,-26.148973218158226,-29.67279154270751,-55.821764760865726
51,-26.102297246044674,-29.949672414765164,-56.051969660809824
52,-26.102297246044674,-29.949672414765164,-56.051969660809824
53,-26.267814903647114,-29.183686316030307,-55.45150121967743
54,-26.267814903647114,-29.183686316030307,-55.45150121967743
55,-26.267814903647114,-29.183686316030307,-55.45150121967743
56,-26.19117981957067,-30.00413357696091,-56.195313396531574
57,-25.99276626696504,-30.088278428880425,-56.08104469584546
58,-26.158962002425604,-29.89946545252363,-56.05842745494922
59,-26.16915477556117,-29.166393914972787,-55.33554869053396
60,-26.16915477556117,-29.166393914972787,-55.33554869053396
61,-26.16915477556117,-29.166393914972787,-55.33554869053396
62,-26.385310425592905,-28.80526690837731,-55.19057733397021
63,-26.385310425592905,-28.80526690837731,-55.19057733397021
64,-26.385310425592905,-28.80526690837731,-55.19057733397021
65,-26.385310425592905,-28.80526690837731,-55.19057733397021
66,-26.45005597164949,-29.093671222958303,-55.54372719460781
67,-26.45005597164949,-29.093671222958303,-55.54372719460781
68,-26.45005597164949,-29.093671222958303,-55.54372719460781
69,-26.544755272523734,-29.18504736562955,-55.72980263815329
70,-26.47162675356277,-29.30143595993325,-55.773062713496024
71,-26.35274868582204,-29.78378005842266,-56.1365287442447
72,-26.35274868582204,-29.78378005842266,-56.1365287442447
73,-26.29402546905673,-29.558218100257978,-55.852243569314716
74,-26.226445222867376,-29.91064804469435,-56.137093267561724
75,-26.217185813113822,-29.7863414165812,-56.003527229695024
76,-26.317495673474273,-29.89306771929915,-56.210563392773416
77,-26.34058100910347,-30.03286406482682,-56.37344507393029
78,-26.391985958635374,-29.41942712127996,-55.81141307991533
79,-26.24581878284177,-29.281252743212146,-55.527071526053895
80,-26.2339461863869,-29.87667666459394,-56.11062285098085
81,-26.38791599576589,-29.82620140344206,-56.21411739920797
82,-26.206746404867,-30.411727457555514,-56.61847386242253
83,-26.387373754329573,-30.184061573861946,-56.57143532819151
84,-26.37771131255216,-30.64727145191432,-57.024982764466465
85,-26.37771131255216,-30.64727145191432,-57.024982764466465
86,-26.37759833841444,-30.27655365840344,-56.65415199681786
87,-26.37759833841444,-30.27655365840344,-56.65415199681786
88,-26.26736317655333,-30.48019968788855,-56.74756286444188
89,-26.26736317655333,-30.48019968788855,-56.74756286444188
90,-26.263972878067843,-30.65693053226681,-56.920903410334645
91,-26.178860580838126,-30.94954095544292,-57.12840153628105
92,-26.119958092799,-30.592567918174247,-56.71252601097326
93,-26.155263500890737,-30.40812760555837,-56.56339110644911
94,-26.271982333922296,-30.454834804798285,-56.72681713872058
95,-26.38853083797505,-30.174942350396663,-56.56347318837172
96,-26.17462574928821,-31.256163819391478,-57.430789568679685
97,-26.17462574928821,-31.256163819391478,-57.430789568679685
