,prior_logpdf,llh,posterior_logpdf
0,-24.367520471220107,-21.25891676947485,-45.62643724069496
1,-24.367520471220107,-21.25891676947485,-45.62643724069496
2,-24.376904198769587,-21.581331964800462,-45.95823616357005
3,-24.543425349123353,-21.433152235691487,-45.97657758481484
4,-24.543425349123353,-21.433152235691487,-45.97657758481484
5,-24.543425349123353,-21.433152235691487,-45.97657758481484
6,-24.54279347786811,-21.553250138399843,-46.096043616267956
7,-24.27658927916553,-21.378896044904725,-45.655485324070256
8,-24.27658927916553,-21.378896044904725,-45.655485324070256
9,-24.27658927916553,-21.378896044904725,-45.655485324070256
10,-25.325007478301092,-21.3776379229576,-46.702645401258685
11,-25.325007478301092,-21.3776379229576,-46.702645401258685
12,-25.034335950739287,-21.586869316008094,-46.62120526674739
13,-25.034335950739287,-21.586869316008094,-46.62120526674739
14,-24.991102704831405,-21.829417495502966,-46.820520200334364
15,-24.991102704831405,-21.829417495502966,-46.820520200334364
16,-24.991102704831405,-21.829417495502966,-46.820520200334364
17,-24.991102704831405,-21.829417495502966,-46.820520200334364
18,-24.991102704831405,-21.829417495502966,-46.820520200334364
19,-24.991102704831405,-21.829417495502966,-46.820520200334364
20,-24.54578249855601,-21.896943517259803,-46.44272601581581
21,-24.54578249855601,-21.896943517259803,-46.44272601581581
22,-24.73711025359565,-21.970163773350354,-46.70727402694601
23,-24.950786120952145,-22.753795883825003,-47.704582004777144
24,-24.950786120952145,-22.753795883825003,-47.704582004777144
25,-24.950786120952145,-22.753795883825003,-47.704582004777144
26,-25.781595646626965,-22.990469658874197,-48.77206530550117
27,-25.781595646626965,-22.990469658874197,-48.77206530550117
28,-25.822134260679263,-23.323435089939274,-49.145569350618544
29,-25.822134260679263,-23.323435089939274,-49.145569350618544
30,-25.822134260679263,-23.323435089939274,-49.145569350618544
31,-27.88497135948299,-23.99745312172636,-51.88242448120936
32,-27.139399198444554,-23.089514225738764,-50.22891342418331
33,-27.377723250694103,-23.361697997289795,-50.73942124798389
34,-27.377723250694103,-23.361697997289795,-50.73942124798389
35,-26.636504082738103,-23.40346893261671,-50.039973015354825
36,-26.636504082738103,-23.40346893261671,-50.039973015354825
37,-26.636504082738103,-23.40346893261671,-50.039973015354825
38,-26.34413687694116,-22.285146218669066,-48.62928309561022
39,-26.34413687694116,-22.285146218669066,-48.62928309561022
40,-26.541839518989573,-21.38097169188233,-47.9228112108719
41,-26.541839518989573,-21.38097169188233,-47.9228112108719
42,-26.541839518989573,-21.38097169188233,-47.9228112108719
43,-25.33606849916293,-22.74584942485465,-48.08191792401756
44,-25.33606849916293,-22.74584942485465,-48.08191792401756
45,-25.33606849916293,-22.74584942485465,-48.08191792401756
46,-25.33606849916293,-22.74584942485465,-48.08191792401756
47,-25.33606849916293,-22.74584942485465,-48.08191792401756
48,-25.63796098335498,-23.219755186798054,-48.857716170153026
49,-25.63796098335498,-23.219755186798054,-48.857716170153026
50,-26.555221356067122,-22.470650958343125,-49.02587231441025
51,-26.767717578935557,-23.22539351959189,-49.99311109852745
52,-26.767717578935557,-23.22539351959189,-49.99311109852745
53,-26.86055823164564,-23.26004019390069,-50.12059842554632
54,-26.86055823164564,-23.26004019390069,-50.12059842554632
55,-26.404100173938946,-23.578217936915607,-49.98231811085456
56,-26.404100173938946,-23.578217936915607,-49.98231811085456
57,-26.554493722733568,-24.030503233965497,-50.584996956699065
58,-25.97813517169371,-24.665178534221106,-50.64331370591482
59,-25.55140410142768,-23.498031859738308,-49.04943596116599
60,-25.55140410142768,-23.498031859738308,-49.04943596116599
61,-25.833129292424164,-23.532418122758106,-49.365547415182284
62,-25.88038036395,-23.21617707612286,-49.096557440072864
63,-25.88038036395,-23.21617707612286,-49.096557440072864
64,-25.656989412375328,-24.1903689828177,-49.84735839519304
65,-26.08193721864555,-21.96153275013616,-48.04346996878171
66,-26.08193721864555,-21.96153275013616,-48.04346996878171
67,-25.19682121455015,-21.84304061505975,-47.03986182960989
68,-25.19682121455015,-21.84304061505975,-47.03986182960989
69,-25.32399614964661,-21.41822669381419,-46.7422228434608
70,-26.41522114324616,-21.980843457622644,-48.3960646008688
71,-26.41522114324616,-21.980843457622644,-48.3960646008688
72,-26.41522114324616,-21.980843457622644,-48.3960646008688
73,-24.87167381604775,-21.30855027135275,-46.180224087400504
74,-24.87167381604775,-21.30855027135275,-46.180224087400504
75,-24.87167381604775,-21.30855027135275,-46.180224087400504
76,-25.01700691042085,-21.15196913009838,-46.16897604051922
77,-25.07764062151655,-21.09105216372933,-46.168692785245895
78,-25.07764062151655,-21.09105216372933,-46.168692785245895
79,-25.07764062151655,-21.09105216372933,-46.168692785245895
80,-24.897040247096662,-20.488222965884365,-45.38526321298103
81,-24.897040247096662,-20.488222965884365,-45.38526321298103
82,-24.897040247096662,-20.488222965884365,-45.38526321298103
83,-24.897040247096662,-20.488222965884365,-45.38526321298103
84,-25.96915190975223,-20.30192722838715,-46.271079138139385
85,-25.96915190975223,-20.30192722838715,-46.271079138139385
86,-25.08509167926437,-20.56034997671602,-45.645441655980385
87,-24.67045576130577,-20.47879261746712,-45.14924837877289
88,-24.86396271915147,-20.55964366453116,-45.42360638368263
89,-24.86396271915147,-20.55964366453116,-45.42360638368263
90,-24.86396271915147,-20.55964366453116,-45.42360638368263
91,-24.86396271915147,-20.55964366453116,-45.42360638368263
92,-24.86396271915147,-20.55964366453116,-45.42360638368263
93,-24.273543221677645,-20.531185676436642,-44.80472889811429
94,-24.273543221677645,-20.531185676436642,-44.80472889811429
95,-24.273543221677645,-20.531185676436642,-44.80472889811429
96,-24.3610295528337,-20.57321855828588,-44.934248111119565
97,-24.3610295528337,-20.57321855828588,-44.934248111119565
98,-24.3610295528337,-20.57321855828588,-44.934248111119565
99,-24.37724761505061,-20.568125888395148,-44.94537350344578
100,-24.363633977409282,-20.835000385818912,-45.19863436322819
101,-24.363633977409282,-20.835000385818912,-45.19863436322819
102,-24.363633977409282,-20.835000385818912,-45.19863436322819
103,-24.363633977409282,-20.835000385818912,-45.19863436322819
104,-25.172173746138235,-21.214912577944805,-46.38708632408304
105,-23.98934512344708,-20.75868659984101,-44.74803172328808
106,-23.92792818319037,-20.742414804902566,-44.670342988092926
107,-24.57660573690125,-21.08189688098412,-45.65850261788538
108,-24.57660573690125,-21.08189688098412,-45.65850261788538
109,-26.268557409807194,-20.781019766437474,-47.04957717624467
110,-26.268557409807194,-20.781019766437474,-47.04957717624467
111,-26.188536936412586,-20.596187213367678,-46.78472414978025
112,-26.188536936412586,-20.596187213367678,-46.78472414978025
113,-26.188536936412586,-20.596187213367678,-46.78472414978025
114,-26.188536936412586,-20.596187213367678,-46.78472414978025
115,-26.188536936412586,-20.596187213367678,-46.78472414978025
116,-25.627400342891804,-22.464545343722232,-48.091945686614025
117,-25.627400342891804,-22.464545343722232,-48.091945686614025
118,-25.627400342891804,-22.464545343722232,-48.091945686614025
119,-25.627400342891804,-22.464545343722232,-48.091945686614025
120,-25.627400342891804,-22.464545343722232,-48.091945686614025
121,-26.32777192085409,-22.3528056808902,-48.68057760174428
122,-26.32777192085409,-22.3528056808902,-48.68057760174428
123,-26.803538269295125,-23.368635490868268,-50.1721737601634
124,-26.366168490091447,-24.59059385211016,-50.956762342201614
125,-25.521413015227882,-24.410873805057715,-49.9322868202856
126,-25.521413015227882,-24.410873805057715,-49.9322868202856
127,-25.29899686154657,-24.45861634764669,-49.75761320919328
128,-25.29899686154657,-24.45861634764669,-49.75761320919328
129,-24.99936679582987,-24.817213652352976,-49.81658044818285
130,-24.99936679582987,-24.817213652352976,-49.81658044818285
131,-24.99936679582987,-24.817213652352976,-49.81658044818285
132,-24.99936679582987,-24.817213652352976,-49.81658044818285
133,-25.19239106008769,-24.36364343238213,-49.55603449246981
134,-25.521612887328786,-23.809041723186642,-49.330654610515424
135,-25.521612887328786,-23.809041723186642,-49.330654610515424
136,-25.963488916231128,-21.756803185023507,-47.72029210125464
137,-25.590356389011504,-21.700113830374278,-47.290470219385774
138,-25.590356389011504,-21.700113830374278,-47.290470219385774
139,-25.590356389011504,-21.700113830374278,-47.290470219385774
140,-25.590356389011504,-21.700113830374278,-47.290470219385774
141,-25.460846943241748,-22.506291002686016,-47.96713794592775
142,-26.258449634573264,-22.53564599965669,-48.794095634229954
143,-26.059267579770555,-21.605013929468154,-47.66428150923871
144,-26.059267579770555,-21.605013929468154,-47.66428150923871
145,-25.754188926911343,-21.571537746014585,-47.32572667292592
146,-25.754188926911343,-21.571537746014585,-47.32572667292592
147,-25.703935556402968,-21.100363594462046,-46.80429915086501
148,-25.703935556402968,-21.100363594462046,-46.80429915086501
