,prior_logpdf,llh,posterior_logpdf
0,-12.527616678144634,-inf,-inf
1,-12.527616678144634,-inf,-inf
2,-12.527616678144634,-inf,-inf
3,-12.527616678144634,-inf,-inf
4,-12.527616678144634,-inf,-inf
5,-12.527616678144634,-inf,-inf
6,-12.527616678144634,-inf,-inf
7,-12.527616678144634,-inf,-inf
8,-12.527616678144634,-inf,-inf
9,-12.527616678144634,-inf,-inf
10,-12.527616678144634,-inf,-inf
11,-12.527616678144634,-inf,-inf
12,-12.527616678144634,-inf,-inf
13,-12.527616678144634,-inf,-inf
14,-12.527616678144634,-inf,-inf
15,-12.527616678144634,-inf,-inf
16,-12.527616678144634,-inf,-inf
17,-12.527616678144634,-inf,-inf
18,-12.527616678144634,-inf,-inf
19,-12.527616678144634,-inf,-inf
20,-12.527616678144634,-inf,-inf
21,-12.527616678144634,-inf,-inf
22,-12.527616678144634,-inf,-inf
23,-12.527616678144634,-inf,-inf
24,-12.527616678144634,-inf,-inf
25,-12.527616678144634,-inf,-inf
26,-12.527616678144634,-inf,-inf
27,-12.527616678144634,-inf,-inf
28,-12.527616678144634,-inf,-inf
29,-12.527616678144634,-inf,-inf
30,-12.527616678144634,-inf,-inf
31,-12.527616678144634,-inf,-inf
32,-12.527616678144634,-inf,-inf
33,-12.527616678144634,-inf,-inf
34,-12.527616678144634,-inf,-inf
35,-12.527616678144634,-inf,-inf
36,-12.527616678144634,-inf,-inf
37,-12.527616678144634,-inf,-inf
38,-12.527616678144634,-inf,-inf
39,-12.527616678144634,-inf,-inf
40,-12.527616678144634,-inf,-inf
41,-12.527616678144634,-inf,-inf
42,-12.527616678144634,-inf,-inf
43,-12.527616678144634,-inf,-inf
44,-12.527616678144634,-inf,-inf
45,-12.527616678144634,-inf,-inf
46,-12.527616678144634,-inf,-inf
47,-12.527616678144634,-inf,-inf
48,-14.091780509584018,-44.39469503798421,-58.48647554756822
49,-14.091780509584018,-44.39469503798421,-58.48647554756822
50,-14.542450408174648,-43.29015907995522,-57.83260948812986
51,-13.764616734757652,-43.96080308506217,-57.72541981981984
52,-13.764616734757652,-43.96080308506217,-57.72541981981984
53,-13.764616734757652,-43.96080308506217,-57.72541981981984
54,-14.620771769823065,-43.59986805889865,-58.220639828721716
55,-15.101900328407185,-43.26015579879323,-58.3620561272004
56,-14.869148410778909,-43.76348022068162,-58.632628631460534
57,-15.551741182699475,-43.14739661687887,-58.69913779957835
58,-15.551741182699475,-43.14739661687887,-58.69913779957835
59,-15.551741182699475,-43.14739661687887,-58.69913779957835
60,-15.551741182699475,-43.14739661687887,-58.69913779957835
61,-15.551741182699475,-43.14739661687887,-58.69913779957835
62,-13.820157763090696,-44.80515355942202,-58.62531132251272
63,-13.820157763090696,-44.80515355942202,-58.62531132251272
64,-13.742385289770574,-43.825002623745384,-57.56738791351595
65,-13.742385289770574,-43.825002623745384,-57.56738791351595
66,-13.742385289770574,-43.825002623745384,-57.56738791351595
67,-13.742385289770574,-43.825002623745384,-57.56738791351595
68,-13.742385289770574,-43.825002623745384,-57.56738791351595
69,-13.742385289770574,-43.825002623745384,-57.56738791351595
70,-13.742385289770574,-43.825002623745384,-57.56738791351595
71,-13.742385289770574,-43.825002623745384,-57.56738791351595
72,-13.494364189999116,-43.9598522077231,-57.45421639772221
73,-13.494364189999116,-43.9598522077231,-57.45421639772221
74,-13.494364189999116,-43.9598522077231,-57.45421639772221
75,-14.20510629445756,-43.1221977240484,-57.32730401850596
76,-13.542283748227156,-43.412512964812095,-56.954796713039244
77,-13.542283748227156,-43.412512964812095,-56.954796713039244
78,-12.881231685559655,-44.183281132499154,-57.064512818058795
79,-13.274481512327494,-43.68631072026264,-56.960792232590144
80,-12.952197858283524,-43.958470227700566,-56.910668085984106
81,-12.880946699761848,-44.260311943342806,-57.141258643104656
82,-12.880946699761848,-44.260311943342806,-57.141258643104656
83,-13.133688627282204,-44.43266093002247,-57.56634955730467
84,-13.133688627282204,-44.43266093002247,-57.56634955730467
85,-13.133688627282204,-44.43266093002247,-57.56634955730467
86,-13.500979331516907,-43.73804998269147,-57.23902931420838
87,-13.559098021897714,-43.71499095856021,-57.274088980457925
88,-13.559098021897714,-43.71499095856021,-57.274088980457925
89,-13.559098021897714,-43.71499095856021,-57.274088980457925
90,-13.716532399251028,-43.59048984531832,-57.307022244569346
91,-13.716532399251028,-43.59048984531832,-57.307022244569346
92,-12.984491632579884,-43.87184240525525,-56.85633403783514
93,-12.984491632579884,-43.87184240525525,-56.85633403783514
94,-12.79757768272373,-44.30720304282583,-57.104780725549574
95,-12.79757768272373,-44.30720304282583,-57.104780725549574
96,-12.79757768272373,-44.30720304282583,-57.104780725549574
97,-12.644940156743193,-44.15453624943866,-56.79947640618185
98,-12.644940156743193,-44.15453624943866,-56.79947640618185
99,-12.644940156743193,-44.15453624943866,-56.79947640618185
100,-12.644940156743193,-44.15453624943866,-56.79947640618185
101,-12.644940156743193,-44.15453624943866,-56.79947640618185
102,-12.670304272529835,-45.97143125512726,-58.64173552765709
103,-12.670304272529835,-45.97143125512726,-58.64173552765709
104,-12.670304272529835,-45.97143125512726,-58.64173552765709
105,-12.670304272529835,-45.97143125512726,-58.64173552765709
106,-12.670304272529835,-45.97143125512726,-58.64173552765709
107,-13.164020486046768,-45.304413199050806,-58.46843368509758
108,-13.33719393253472,-44.026319477059204,-57.36351340959393
109,-13.33719393253472,-44.026319477059204,-57.36351340959393
110,-13.33719393253472,-44.026319477059204,-57.36351340959393
111,-13.671187478810635,-43.945414403640086,-57.616601882450716
112,-13.671187478810635,-43.945414403640086,-57.616601882450716
113,-13.671187478810635,-43.945414403640086,-57.616601882450716
114,-13.671187478810635,-43.945414403640086,-57.616601882450716
115,-13.365109381498096,-44.26059368258268,-57.62570306408079
116,-14.073719880685124,-43.55302594148725,-57.62674582217235
117,-14.073719880685124,-43.55302594148725,-57.62674582217235
118,-14.073719880685124,-43.55302594148725,-57.62674582217235
119,-14.073719880685124,-43.55302594148725,-57.62674582217235
120,-14.073719880685124,-43.55302594148725,-57.62674582217235
121,-13.687218999626081,-43.91729725094819,-57.60451625057426
122,-13.687218999626081,-43.91729725094819,-57.60451625057426
123,-13.543437381206347,-44.794301758914976,-58.33773914012133
124,-13.543437381206347,-44.794301758914976,-58.33773914012133
125,-13.543437381206347,-44.794301758914976,-58.33773914012133
126,-13.543437381206347,-44.794301758914976,-58.33773914012133
127,-13.543437381206347,-44.794301758914976,-58.33773914012133
128,-13.543437381206347,-44.794301758914976,-58.33773914012133
129,-13.755130724165197,-45.71960710554296,-59.47473782970814
130,-13.755130724165197,-45.71960710554296,-59.47473782970814
131,-15.380604136223287,-43.489645146130826,-58.870249282354116
132,-15.380604136223287,-43.489645146130826,-58.870249282354116
133,-15.380604136223287,-43.489645146130826,-58.870249282354116
134,-14.187958253058465,-43.60478375157428,-57.79274200463274
135,-14.187958253058465,-43.60478375157428,-57.79274200463274
136,-14.056304692111144,-43.98593528197217,-58.042239974083316
137,-14.056304692111144,-43.98593528197217,-58.042239974083316
138,-13.880780320306888,-44.0121924029876,-57.8929727232945
139,-13.693913484385032,-43.93590568515231,-57.62981916953734
140,-13.409209166306141,-43.62871426454858,-57.03792343085473
141,-13.625895229667599,-43.444015139353716,-57.06991036902132
142,-12.97173971797956,-43.8114802411839,-56.78321995916347
143,-13.681534318526944,-43.30935202012057,-56.990886338647506
144,-14.424114271383994,-42.96280070060053,-57.38691497198453
145,-14.426451084524286,-43.29291315747386,-57.71936424199815
146,-14.426451084524286,-43.29291315747386,-57.71936424199815
147,-15.133427654361244,-43.249037284819146,-58.3824649391804
148,-15.133427654361244,-43.249037284819146,-58.3824649391804
149,-15.133427654361244,-43.249037284819146,-58.3824649391804
150,-15.904076152420876,-43.33845707809787,-59.24253323051874
151,-15.904076152420876,-43.33845707809787,-59.24253323051874
152,-15.904076152420876,-43.33845707809787,-59.24253323051874
153,-16.623659550978402,-43.175284261424046,-59.79894381240244
154,-16.623659550978402,-43.175284261424046,-59.79894381240244
155,-16.425966928021793,-43.188882817714855,-59.61484974573665
156,-16.425966928021793,-43.188882817714855,-59.61484974573665
157,-16.681113084442206,-43.1851462043722,-59.866259288814405
158,-16.394497306459755,-42.976945951818884,-59.37144325827864
159,-16.394497306459755,-42.976945951818884,-59.37144325827864
160,-16.394497306459755,-42.976945951818884,-59.37144325827864
161,-15.24942810209533,-43.37639940181232,-58.62582750390765
162,-16.174647292953573,-43.15482456093568,-59.329471853889245
163,-16.174647292953573,-43.15482456093568,-59.329471853889245
164,-16.174647292953573,-43.15482456093568,-59.329471853889245
165,-17.133285781521376,-42.91714138187599,-60.05042716339736
166,-17.133285781521376,-42.91714138187599,-60.05042716339736
167,-17.279526360567957,-42.69923166766213,-59.978758028230075
168,-16.742050177546552,-43.101314989384356,-59.843365166930894
169,-16.780483309770787,-45.2200959456956,-62.000579255466384
170,-16.496207489400888,-43.44959833729637,-59.94580582669725
171,-16.496207489400888,-43.44959833729637,-59.94580582669725
172,-17.07408338171297,-42.659404256653964,-59.73348763836694
173,-17.07408338171297,-42.659404256653964,-59.73348763836694
174,-16.72291692222015,-43.23017507760228,-59.953091999822426
175,-16.72291692222015,-43.23017507760228,-59.953091999822426
176,-15.56662762754086,-43.57129703945729,-59.137924666998146
177,-13.955939384608705,-43.477066510212815,-57.43300589482152
178,-14.564813483467786,-42.81860082226643,-57.38341430573421
179,-14.769976450410313,-42.985842300150736,-57.75581875056107
180,-13.52310487159968,-43.40556412314659,-56.92866899474628
181,-13.52310487159968,-43.40556412314659,-56.92866899474628
182,-13.52310487159968,-43.40556412314659,-56.92866899474628
183,-14.469788103192801,-43.13571927522289,-57.6055073784157
184,-13.86415981928772,-43.29392222985632,-57.15808204914404
185,-13.86415981928772,-43.29392222985632,-57.15808204914404
186,-13.165390649401965,-44.067103001139444,-57.23249365054141
187,-13.165390649401965,-44.067103001139444,-57.23249365054141
188,-13.171392409804525,-44.42825157274697,-57.599643982551505
189,-13.388355183500035,-44.294571649121714,-57.682926832621746
190,-13.26115454522676,-44.21210148418088,-57.47325602940764
191,-13.26115454522676,-44.21210148418088,-57.47325602940764
192,-13.26115454522676,-44.21210148418088,-57.47325602940764
193,-13.26115454522676,-44.21210148418088,-57.47325602940764
194,-13.26115454522676,-44.21210148418088,-57.47325602940764
195,-13.26115454522676,-44.21210148418088,-57.47325602940764
196,-13.080531477335976,-44.46698290786744,-57.54751438520341
197,-13.303228457633846,-44.09768100282521,-57.40090946045906
198,-13.040454474580905,-44.44661199714153,-57.48706647172244
199,-13.040454474580905,-44.44661199714153,-57.48706647172244
200,-13.040454474580905,-44.44661199714153,-57.48706647172244
201,-13.449708801048622,-44.421349772348954,-57.871058573397576
202,-14.284701288395667,-43.91653369167933,-58.201234980075
203,-14.284701288395667,-43.91653369167933,-58.201234980075
204,-15.389178981139414,-43.07208761368815,-58.46126659482756
205,-16.680687969578106,-43.189684067451324,-59.870372037029426
206,-16.411769589022597,-43.09882557612877,-59.510595165151365
207,-17.02062904373984,-43.259596674047785,-60.280225717787644
208,-17.02062904373984,-43.259596674047785,-60.280225717787644
209,-17.02062904373984,-43.259596674047785,-60.280225717787644
210,-16.834526872322346,-42.96699634168911,-59.801523214011446
211,-16.834526872322346,-42.96699634168911,-59.801523214011446
212,-16.06406063248672,-42.540584822190866,-58.60464545467758
213,-16.06406063248672,-42.540584822190866,-58.60464545467758
214,-16.06406063248672,-42.540584822190866,-58.60464545467758
215,-15.05635143874185,-43.766694300594594,-58.82304573933645
216,-15.05635143874185,-43.766694300594594,-58.82304573933645
217,-15.079939400413446,-42.950872304355535,-58.03081170476897
218,-16.206476918152013,-43.23842259498562,-59.444899513137635
219,-16.206476918152013,-43.23842259498562,-59.444899513137635
220,-16.206476918152013,-43.23842259498562,-59.444899513137635
221,-16.206476918152013,-43.23842259498562,-59.444899513137635
222,-16.206476918152013,-43.23842259498562,-59.444899513137635
223,-16.206476918152013,-43.23842259498562,-59.444899513137635
224,-16.206476918152013,-43.23842259498562,-59.444899513137635
225,-16.206476918152013,-43.23842259498562,-59.444899513137635
226,-16.206476918152013,-43.23842259498562,-59.444899513137635
227,-16.403268679587793,-43.0994678129091,-59.50273649249688
228,-16.402180838484053,-42.664392170590375,-59.06657300907443
229,-16.432794574782093,-44.38545030420245,-60.81824487898454
230,-16.432794574782093,-44.38545030420245,-60.81824487898454
231,-15.397227509545472,-42.77681260195558,-58.174040111501036
232,-16.001502024598903,-42.79789926198321,-58.79940128658211
233,-16.261807088524648,-42.95392475936736,-59.21573184789201
234,-16.261807088524648,-42.95392475936736,-59.21573184789201
235,-16.261807088524648,-42.95392475936736,-59.21573184789201
236,-16.261807088524648,-42.95392475936736,-59.21573184789201
237,-16.261807088524648,-42.95392475936736,-59.21573184789201
238,-16.261807088524648,-42.95392475936736,-59.21573184789201
239,-16.261807088524648,-42.95392475936736,-59.21573184789201
240,-16.261807088524648,-42.95392475936736,-59.21573184789201
241,-16.261807088524648,-42.95392475936736,-59.21573184789201
242,-15.983479037200912,-42.633552279578986,-58.6170313167799
243,-15.337075372824142,-43.459018581286045,-58.796093954110184
244,-15.337075372824142,-43.459018581286045,-58.796093954110184
245,-14.929551485294638,-43.245137879463094,-58.174689364757725
246,-14.34094521266727,-42.94191082378326,-57.28285603645053
247,-14.673963594453287,-42.565741768328216,-57.23970536278154
248,-14.673963594453287,-42.565741768328216,-57.23970536278154
249,-14.950745716575858,-42.9989681985105,-57.949713915086356
250,-14.909010124632218,-43.26479892869873,-58.17380905333096
251,-14.909010124632218,-43.26479892869873,-58.17380905333096
252,-14.909010124632218,-43.26479892869873,-58.17380905333096
253,-14.614434716217733,-45.46853412882678,-60.082968845044526
254,-14.653217868129456,-43.452046259524614,-58.10526412765407
255,-14.653217868129456,-43.452046259524614,-58.10526412765407
256,-14.653217868129456,-43.452046259524614,-58.10526412765407
257,-14.39704382025564,-42.47631979731115,-56.87336361756679
258,-14.363113151085262,-42.59208084803727,-56.95519399912254
259,-14.482670760668288,-43.03530059266349,-57.51797135333179
260,-14.482670760668288,-43.03530059266349,-57.51797135333179
261,-14.482670760668288,-43.03530059266349,-57.51797135333179
262,-14.335747831120267,-43.68718691227529,-58.02293474339554
263,-14.335747831120267,-43.68718691227529,-58.02293474339554
264,-14.328031736965745,-43.63534894714414,-57.96338068410988
265,-14.328031736965745,-43.63534894714414,-57.96338068410988
266,-14.328031736965745,-43.63534894714414,-57.96338068410988
267,-14.45137774799694,-43.194312120470066,-57.645689868467024
268,-14.589129279354106,-42.67453527617575,-57.263664555529864
269,-14.226179889054643,-42.832008725615566,-57.05818861467022
270,-14.226179889054643,-42.832008725615566,-57.05818861467022
271,-14.244694293792634,-44.27574671331623,-58.52044100710886
272,-14.244694293792634,-44.27574671331623,-58.52044100710886
273,-14.244694293792634,-44.27574671331623,-58.52044100710886
274,-14.072413772981188,-44.15960410638121,-58.2320178793624
275,-14.072413772981188,-44.15960410638121,-58.2320178793624
276,-14.056149712320533,-42.475002654182454,-56.53115236650298
277,-14.017311195510032,-41.50822699399345,-55.525538189503486
278,-14.78565303200773,-40.82123440827334,-55.606887440281064
279,-14.78565303200773,-40.82123440827334,-55.606887440281064
280,-14.78565303200773,-40.82123440827334,-55.606887440281064
281,-14.012793498925195,-41.2843501463451,-55.29714364527028
282,-14.012793498925195,-41.2843501463451,-55.29714364527028
283,-14.012793498925195,-41.2843501463451,-55.29714364527028
284,-13.766812038313232,-41.56601221075204,-55.33282424906528
285,-13.61166628585734,-42.39958658652403,-56.01125287238136
286,-13.749941263397224,-41.55799584638956,-55.307937109786785
