,Mw
0,8.299617421198665
1,8.320960680368007
2,8.322135657945342
3,8.317253759630443
4,8.320784621104291
5,8.322097759663311
6,8.323042954400837
7,8.319861587969253
8,8.334094792841984
9,8.342974704457106
10,8.348528640594278
11,8.366501233447782
12,8.35931609802735
13,8.355291993387475
14,8.352832019047181
15,8.374143458957665
16,8.367425102844116
17,8.371150623974732
18,8.373835428676756
19,8.38836418147968
20,8.393314498251112
21,8.387252964271056
22,8.398104098352153
23,8.405722707716667
24,8.416933370630531
25,8.430661677917104
26,8.426443851557945
27,8.428805096041142
28,8.430208743964624
29,8.416721989870116
30,8.419005401116902
31,8.421052940928067
32,8.42667348928958
33,8.407532004600949
34,8.398595243560703
35,8.38253580168275
36,8.386479994063372
37,8.390868357131883
38,8.362617596328871
39,8.349154193828912
40,8.367192821698904
41,8.36096755592164
42,8.367986528813557
43,8.373137281610902
44,8.378873852009221
45,8.381038164598106
46,8.386716743877049
47,8.382086894582098
48,8.384861939470113
49,8.386842619809112
50,8.39586466087265
51,8.401693374703804
52,8.389070412276642
53,8.383085599981623
54,8.374722862850891
55,8.385828894316269
56,8.381177343802715
57,8.388949413147195
58,8.376979403023078
59,8.396232661823714
60,8.389125394315169
61,8.389291671088042
62,8.361883686537329
63,8.392435675727391
64,8.394148636500347
65,8.38564450920327
66,8.383878765639064
67,8.401226557111379
68,8.406084948449017
69,8.40115348171879
70,8.410040468736678
71,8.416805445222419
72,8.409509969162382
73,8.391956016493584
74,8.398067703305
75,8.379136230312124
76,8.403457064456184
77,8.398471451378033
78,8.395945593954213
79,8.405829713956631
80,8.406148051561782
81,8.394949370420346
82,8.39258492923694
83,8.383043350466927
84,8.392728627798608
85,8.410630319908254
86,8.395992677004699
87,8.401221332087747
88,8.393051502289438
89,8.39123975956506
90,8.391115547206521
91,8.3895447265357
92,8.390045118183458
93,8.397615211944679
94,8.375839296394236
95,8.398404235573185
96,8.392746918303054
97,8.380409383649074
98,8.374642470261005
99,8.411928584989472
