id,time,lat,lon,Depth,Magnitude,event-type,mrr,mtt,mpp,mrt,mrp,mtp,type,moment-lat,moment-lon,moment-depth,moment-duration,strike1,dip1,rake1,strike2,dip2,rake2,Strike,Dip,Rake,description
usp0007dmb,1996-02-21T12:51:01.300,-9.593,-79.587,10,7.5,earthquake,9.03E+019,-1.73E+019,-7.3E+019,6.58E+019,-1.81E+020,3.87E+019,NA,-10.22,-79.7732,11.5,48,326,12,77,159,77,92,326,12,77,
usp000d85g,2004-11-11T21:26:41.150,-8.152,124.868,10,7.5,earthquake,1.49E+020,-1.48E+020,-6.5E+017,-1.91E+020,-8.23E+019,-4.73E+019,NA,-8.15,124.971,30.5,32,247,71,86,80,18,101,247,71,86,not a subduction zone earthquake
usp000exfn,2006-11-15T11:14:13.570,46.592,153.266,10,8.3,earthquake,1.71E+021,-4.62E+020,-1.25E+021,1.7E+021,2.34E+021,-8.1E+020,NA,46.97,154.0157,11.5,100,208,15,83,35,74,91,208,15,83,
usp000gz8j,2009-07-15T09:22:29.030,-45.762,166.562,12,7.8,earthquake,2.88E+020,1.02E+020,-3.9E+020,1.55E+020,-3.87E+020,-1.56E+019,NA,-45.96,165.9867,30.5,46,162,71,73,26,24,131,26,24,131,not a subduction zone earthquake
usp0006kdp,1994-10-04T13:22:55.840,43.773,147.321,14,8.3,earthquake,1.15E+021,1.06E+021,-2.21E+021,2.32E+021,1.4E+021,-8.59E+020,NA,43.51,147.33,60.5,54,50,78,121,158,33,21,158,33,21,"small strike slip component, tsunami"
usp000gs2d,2009-01-03T19:43:50.650,-0.414,132.885,17,7.7,earthquake,2.3E+020,-1.92E+020,-3.81E+019,-1.43E+020,1.72E+020,1.1E+020,NA,-0.51,132.88,17.5,36,312,66,103,102,26,62,102,26,62,
usp000ensm,2006-07-17T08:19:26.680,-9.284,107.419,20,7.7,earthquake,1.28E+020,-1.16E+020,-1.2E+019,3.72E+020,-1.19E+020,3.2E+019,NA,-10.25,108.1194,11.5,148,284,9,86,107,81,90,284,9,86,good
usp000hnj4,2010-10-25T14:42:22.460,-3.487,100.082,20.1,7.8,earthquake,1.45E+020,-5.43E+019,-9.08E+019,3.43E+020,-3.9E+020,8.06E+019,NA,-3.88,99.3084,11.5,76,324,8,95,138,81,89,324,8,95,good
us20005j32,2016-04-16T23:58:36.980,0.3819,-79.9218,20.6,7.8,earthquake,3.46E+020,8.4E+018,-3.55E+020,-9.5E+018,-6.05E+020,-9.46E+019,usMww,-0.25,-79.97,21.5,48,183,75,83,26,16,113,26,16,113,good
usp000f34b,2007-01-21T11:27:45.060,1.065,126.282,22,7.5,earthquake,1.68E+020,-1.67E+019,-1.51E+020,-2.04E+019,-1.96E+020,-8E+019,NA,1.07,126.38,25.5,38,190,69,78,40,23,117,40,23,117,Why was no tsunami generated?
official20100227063411530_30,2010-02-27T06:34:11.530,-36.122,-72.898,22.9,8.8,earthquake,9.84E+021,4.93E+020,-1.03E+022,9.52E+020,-2.01E+022,-1.41E+021,NA,-35.95,-72.71,30.5,120,17,13,108,178,76,85,17,13,108,"good, tsunami generated, local damage"
usp00079zv,1996-01-01T08:05:10.830,0.729,119.931,24,7.9,earthquake,1.29E+020,-9.72E+019,-3.18E+019,-4.02E+020,-1.98E+020,-8.91E+019,NA,0.52,119.78,19.5,22,42,9,69,243,81,93,42,9,69,"good, tsunami generated, local damage"
usp000bnyr,2003-01-22T02:06:34.610,18.77,-104.104,24,7.6,earthquake,1.04E+020,-7.72E+019,-2.72E+019,9.4E+019,-7.06E+019,3.65E+019,NA,18.77,-103.4663,23.5,38,292,20,78,124,69,94,292,20,78,no record of tsunami
usp000f83m,2007-04-01T20:39:58.710,-8.466,157.043,24,8.1,earthquake,1.5E+021,-7.22E+020,-7.73E+020,7.62E+020,-4.96E+020,7.41E+020,NA,-7.86,156.3325,21.5,92,322,29,101,129,60,83,322,29,101,"good, tsunami generated"
usp00050sq,1991-12-22T08:43:13.410,45.533,151.021,24.7,7.6,earthquake,1.39E+020,-6.15E+019,-7.79E+019,9.73E+019,1.42E+020,-7.54E+019,NA,45.67,151.1926,23.5,32,228,20,101,36,70,85,228,20,101,tsunami?
usp000482z,1990-04-18T13:39:19.010,1.186,122.857,25.7,7.8,earthquake,2.14E+020,-2.41E+020,2.71E+019,-3.09E+020,1.23E+020,4.76E+019,NA,1.16,122.84,28,32,87,18,68,289,72,97,87,18,68,no tsunami?
usp0006qh3,1994-12-28T12:19:23.030,40.525,143.419,26.5,7.8,earthquake,2.18E+020,1.34E+018,-2.2E+020,1.72E+020,3.29E+020,-4.56E+019,NA,40.55,142.9643,23.5,70,177,16,63,25,74,97,177,16,63,"good, small tsunami"
usp000c8kv,2003-09-25T19:50:06.360,41.815,143.91,27,8.3,earthquake,9.27E+020,-5.06E+020,-4.21E+020,8.98E+020,1.76E+021,-5.9E+020,NA,42.21,143.7746,23.5,56,245,15,125,29,77,80,245,15,125,"good, small tsunami"
usp0005j5a,1992-12-12T05:29:26.350,-8.48,121.896,27.7,7.8,earthquake,4.94E+020,-4.83E+020,-1.17E+019,-4.82E+020,-1.25E+020,-1.4E+020,NA,-8.71,122.3956,23.5,44,255,67,90,73,22,88,73,22,88,"backthrust, tsunami"
official20110311054624120_30,2011-03-11T05:46:24.120,38.297,142.373,29,9.1,earthquake,1.67E+022,-1.51E+021,-1.52E+022,2.24E+022,4.84E+022,-5.29E+021,NA,38.22,142.8799,11.5,146,192,8,78,24,81,91,192,8,78,"good, 2011 Japan Tsunami"
usp000a3sp,2000-11-16T07:42:16.930,-5.233,153.102,30,7.8,earthquake,3.25E+020,-2.84E+020,-4.1E+019,5.27E+020,1.96E+020,-9.3E+019,NA,-5.03,153.17,31.2,45.2,253,15,93,70,75,89,253,15,93,aftershock
official20041226005853450_30,2004-12-26T00:58:53.450,3.295,95.982,30,9.1,earthquake,1.6E+022,-5.41E+021,-1.06E+022,4.89E+022,-4.28E+022,5.93E+021,NA,3.6,94.0772,13.5,290,335,7,113,131,83,87,335,7,113,2004 Sumatra Tsunami
official20050328160936530_30,2005-03-28T16:09:36.530,2.085,97.108,30,8.6,earthquake,2.95E+021,-1.22E+021,-1.73E+021,6.32E+021,-5.42E+021,1.72E+021,usMww,1.58,96.91,30.5,118,329,10,107,131,80,87,329,10,107,"good, local tsunami 2005 Sumatra"
usp00071w4,1995-08-16T10:27:28.630,-5.799,154.178,30.1,7.7,earthquake,5.1E+020,-2.3E+020,-2.8E+020,2.25E+019,-6.41E+019,2.45E+020,NA,-5.51,153.7074,60.5,66,315,41,85,140,48,93,315,41,85,"either, no tsunami?"
usp000azqw,2002-03-05T21:16:09.130,6.033,124.249,31,7.5,earthquake,1.36E+020,-3.5E+019,-1.01E+020,6.64E+018,-1.15E+020,7.46E+019,NA,5.93,124.3506,23.5,34,309,29,58,164,64,106,309,29,58,3m max tsunami
usp000hat0,2010-04-06T22:15:01.580,2.383,97.048,31,7.8,earthquake,1.56E+020,-8.98E+019,-6.61E+019,3.79E+020,-2.84E+020,8.21E+019,NA,1.88,96.5495,25.5,42,315,9,97,127,80,88,315,9,97,"aftershock, small tsunami"
usp0004t6g,1991-06-20T05:18:52.510,1.196,122.787,31.4,7.5,earthquake,7.58E+019,-7.08E+019,-5.07E+018,-7.66E+019,-3.74E+018,6.51E+018,NA,1.17,122.76,33,18,269,68,85,100,22,100,100,22,100,subduction zone?
usp00074vc,1995-10-09T15:35:53.910,19.055,-104.205,33,8,earthquake,3.93E+020,-2.83E+020,-1.11E+020,4.75E+020,-4.91E+020,1.61E+020,NA,19.15,-104.3259,13.5,70,290,15,67,133,75,96,290,15,67,"good, Colima�Jalisco earthquake"
usp0007d1w,1996-02-17T05:59:30.550,-0.891,136.952,33,8.2,earthquake,7.04E+020,-6.57E+020,-4.73E+019,-1.38E+021,7.46E+020,3.23E+020,NA,-0.85,136.4299,11.5,58,107,12,79,297,77,92,107,12,79,"good, biak earthquake"
usp0007jcu,1996-06-10T04:03:35.480,51.564,-177.632,33,7.9,earthquake,4.81E+020,-4.48E+020,-3.36E+019,4.95E+020,2.64E+020,-1.76E+020,NA,51.46,-177.63,23.5,60,256,21,101,63,69,85,256,21,101,"good, Andreanov tsunami"
usp0007swp,1996-11-12T16:59:44.030,-14.993,-75.675,33,7.7,earthquake,3.5E+020,-6.03E+019,-2.9E+020,3.8E+019,-2.7E+020,1.67E+020,NA,-15.29,-75.2659,23.5,62,319,28,68,164,63,101,319,28,68,1m tsunami
usp00080wt,1997-04-21T12:02:26.430,-12.584,166.676,33,7.7,earthquake,3.56E+020,-3.6E+019,-3.2E+020,-7.67E+019,-3.48E+020,2.73E+020,NA,-13.28,166.2706,60.5,84,301,36,41,175,66,118,301,36,41,local tsunami santa cruz islands
