OBJECTID,Shape_Length,START_X,START_Y,END_X,END_Y,Strike,Lat,Long
1,0.008982049,128.0043361,-8.303218297,128.01329,-8.302507892,85.46364462,-8.302863094,128.0088131
2,0.008982048,128.01329,-8.302507892,128.0222437,-8.301794461,85.44428089,-8.302151176,128.0177668
3,0.008982048,128.0222437,-8.301794461,128.0311971,-8.301078004,85.42491664,-8.301436232,128.0267204
4,0.008982049,128.0311971,-8.301078004,128.0401503,-8.300358521,85.4055524,-8.300718262,128.0356737
5,0.008982048,128.0401503,-8.300358521,128.0491032,-8.299636011,85.38618077,-8.299997266,128.0446268
6,0.008982048,128.0491032,-8.299636011,128.0580559,-8.298910475,85.36681499,-8.299273243,128.0535796
7,0.008982049,128.0580559,-8.298910475,128.0670084,-8.298181914,85.34745557,-8.298546194,128.0625322
8,0.008982048,128.0670084,-8.298181914,128.0759606,-8.297450327,85.32808876,-8.29781612,128.0714845
9,0.008982048,128.0759606,-8.297450327,128.0849126,-8.296715714,85.30872142,-8.29708302,128.0804366
10,0.008982048,128.0849126,-8.296715714,128.0938643,-8.295978075,85.28935357,-8.296346894,128.0893884
11,0.008982048,128.0938643,-8.295978075,128.1028157,-8.295237411,85.26999154,-8.295607743,128.09834
12,0.008982049,128.1028157,-8.295237411,128.1117669,-8.294493721,85.25062316,-8.294865566,128.1072913
13,0.008982049,128.1117669,-8.294493721,128.1207179,-8.293747005,85.23125373,-8.294120363,128.1162424
14,0.008982047,128.1207179,-8.293747005,128.1296686,-8.292997265,85.21189595,-8.293372135,128.1251932
15,0.008982048,128.1296686,-8.292997265,128.138619,-8.292244499,85.19252598,-8.292620882,128.1341438
16,0.008982048,128.138619,-8.292244499,128.1475692,-8.291488708,85.17316131,-8.291866603,128.1430941
17,0.008982048,128.1475692,-8.291488708,128.1565192,-8.290729892,85.15379609,-8.2911093,128.1520442
18,0.008982048,128.1565192,-8.290729892,128.1654688,-8.289968051,85.13443034,-8.290348971,128.160994
19,0.008982048,128.1654688,-8.289968051,128.1744183,-8.289203185,85.11506405,-8.289585618,128.1699436
20,0.008982048,128.1744183,-8.289203185,128.1833674,-8.288435294,85.09569721,-8.288819239,128.1788929
21,0.008982048,128.1833674,-8.288435294,128.1923163,-8.287664379,85.07633619,-8.288049836,128.1878419
22,0.008982048,128.1923163,-8.287664379,128.201265,-8.286890439,85.05696826,-8.287277409,128.1967907
23,0.008982048,128.201265,-8.286890439,128.2102134,-8.286113474,85.03759923,-8.286501956,128.2057392
24,0.008982049,128.2102134,-8.286113474,128.2191615,-8.285333485,85.01823711,-8.285723479,128.2146874
25,0.008982048,128.2191615,-8.285333485,128.2281093,-8.284550471,84.99886697,-8.284941978,128.2236354
26,0.008982049,128.2281093,-8.284550471,128.2370569,-8.283764433,84.97950374,-8.284157452,128.2325831
27,0.008982048,128.2370569,-8.283764433,128.2460042,-8.282975371,84.96013884,-8.283369902,128.2415306
28,0.008982048,128.2460042,-8.282975371,128.2549513,-8.282183285,84.94077394,-8.282579328,128.2504778
29,0.008982048,128.2549513,-8.282183285,128.2638981,-8.281388175,84.92140791,-8.28178573,128.2594247
30,0.008982049,128.2638981,-8.281388175,128.2728446,-8.280590041,84.90204245,-8.280989108,128.2683713
31,0.008982048,128.2728446,-8.280590041,128.2817908,-8.279788883,84.88267529,-8.280189462,128.2773177
32,0.008982048,128.2817908,-8.279788883,128.2907368,-8.278984702,84.86331448,-8.279386792,128.2862638
33,0.008982048,128.2907368,-8.278984702,128.2996825,-8.278177496,84.84393982,-8.278581099,128.2952097
34,0.008982048,128.2996825,-8.278177496,128.308628,-8.277367267,84.82457787,-8.277772381,128.3041552
35,0.008982048,128.308628,-8.277367267,128.3175731,-8.276554015,84.80521534,-8.276960641,128.3131005
36,0.008982048,128.3175731,-8.276554015,128.326518,-8.275737739,84.7858453,-8.276145877,128.3220456
37,0.008982048,128.326518,-8.275737739,128.3354626,-8.274918441,84.76648797,-8.27532809,128.3309903
38,0.008982049,128.3354626,-8.274918441,128.3444069,-8.274096118,84.74711101,-8.274507279,128.3399348
39,0.008982048,128.3444069,-8.274096118,128.353351,-8.273270773,84.72775193,-8.273683445,128.3488789
40,0.008982049,128.353351,-8.273270773,128.3622947,-8.272442405,84.70838649,-8.272856589,128.3578229
41,0.008982048,128.3622947,-8.272442405,128.3712382,-8.271611014,84.68901989,-8.272026709,128.3667665
42,0.008982048,128.3712382,-8.271611014,128.3801814,-8.2707766,84.66965268,-8.271193807,128.3757098
43,0.008982048,128.3801814,-8.2707766,128.3891244,-8.269939163,84.65028548,-8.270357881,128.3846529
44,0.008982049,128.3891244,-8.269939163,128.398067,-8.269098704,84.63092404,-8.269518933,128.3935957
45,0.008982048,128.398067,-8.269098704,128.4070094,-8.268255222,84.61155505,-8.268676963,128.4025382
46,0.008982048,128.4070094,-8.268255222,128.4159514,-8.267408718,84.59219182,-8.26783197,128.4114804
47,0.008982049,128.4159514,-8.267408718,128.4248932,-8.266559192,84.57282858,-8.266983955,128.4204223
48,0.008982048,128.4248932,-8.266559192,128.4338347,-8.265706643,84.55345779,-8.266132917,128.429364
49,0.008982048,128.4338347,-8.265706643,128.4427759,-8.264851072,84.53409274,-8.265278857,128.4383053
50,0.008982049,128.4427759,-8.264851072,128.4517168,-8.263992479,84.51472769,-8.264421775,128.4472464
51,0.008982048,128.4517168,-8.263992479,128.4606575,-8.263130864,84.49536142,-8.263561671,128.4561871
52,0.008982048,128.4606575,-8.263130864,128.4695978,-8.262266228,84.47600089,-8.262698546,128.4651276
53,0.008982049,128.4695978,-8.262266228,128.4785378,-8.261398569,84.45662766,-8.261832398,128.4740678
54,0.008982049,128.4785378,-8.261398569,128.4874776,-8.260527889,84.4372659,-8.260963229,128.4830077
55,0.008982048,128.4874776,-8.260527889,128.496417,-8.259654188,84.41790352,-8.260091038,128.4919473
