EQN,Length,Width,Area,Max Slip,Average Slip
15,22,12,420,3.8,2.9
26,45,11,660,5.9,1.5
28,33,13,429,1.5,0.5
40,200,10,2000,12,8
42,64,19,1216,3,0.6
45,11,14,252,0.31,0.25
46,26,14,428,0.76,0.45
47,50,15,855,4.1,2.8
48,42,14,630,3.8,2.1
49,22,12,264,0.9,0.5
52,300,20,6000,9.4,6.54
54,45,17,765,6.1,2.14
65,85,10,300,0.4,0.15
68,70,20,1600,2.6,1.63
71,40,10,400,0.38,0.18
73,110,20,2200,5.2,2.3
74,20,10,200,3.5,0.9
76,30,11,330,0.82,0.54
83,75,15,1125,2.7,2.1
84,63,17,1071,2.8,0.86
86,17,14,238,2.5,1.5
96,110,13,1430,3.6,1.3
112,257,13,3341,3.4,2.6
121,90,18,1620,3.5,2.05
128,14,12,168,0.3,0.12
131,28,14,392,0.22,0.08
135,74,22,1628,3,1.5
138,6,4,24,0.1,0.05
140,16,6,96,1.5,0.5
144,51,12,612,0.8,0.18
146,75,22,1650,3.9,1.2
156,55,15,825,6.5,1.54
157,60,15,900,1.15,0.64
162,26,18,468,1.1,0.6
174,33,20,660,2.7,0.8
192,21,13,273,0.12,0.1
197,13,3,39,1.3,0.5
204,15,14,210,0.18,0.15
209,32,14,448,2.9,1.7
215,30,12,360,0.2,0.23
216,30,11,330,0.92,0.54
219,19,12,288,1.9,0.93
221,80,20,1600,1.5,0.7
229,10,5,50,2,0.8
240,62,12,744,6,2.95
