e,time,Location,Link,lat,lon,depth,depth2,mag,Strike,Dip,Rake,Notes,Seismic moment,Length (km),Width (km),Width adjusted,Area (km2),Length,Width (m),Width2,Rigidity,Slip,Slip2
usp000exfn,2006-11-15T11:14:13.570,JK - Kuril Islands,https://earthquake.usgs.gov/earthquakes/eventpage/usp000exfn#executive,46.592,153.266,10,10000,8.3,208,15,83,,3.35E+21,310,130,102.916129,31904,310000,130000,102916.129,3.00E+10,2.77,3.49972
usp000gz8j,2009-07-15T09:22:29.030,NZ - South New Zealand,https://earthquake.usgs.gov/earthquakes/eventpage/usp000gz8j#executive,-45.762,166.562,12,12000,7.8,26,24,131,not a subduction zone earthquake,5.96E+20,111,51,33.4954955,3718,111000,51000,33495.4955,3.00E+10,3.51,5.34035
usp0006kdp,1994-10-04T13:22:55.840,JK - Kuril Islands,https://earthquake.usgs.gov/earthquakes/eventpage/usp0006kdp#executive,43.773,147.321,14,14000,8.3,158,33,21,"small strike slip component, tsunami",3.35E+21,86,164,102.4418605,8810,86000,164000,102441.8605,3.00E+10,7.92,12.67368
usp0000xp7,1978-11-29T19:52:47.600,NA - Mexico,https://earthquake.usgs.gov/earthquakes/eventpage/usp0000xp7#executive,16.01,-96.591,18,18000,7.7,274,7,57,Epicenter in continent,4.22E+20,110,79,23.27272727,2560,110000,79000,23272.72727,3.00E+10,1.62,5.49084
usp000hnj4,2010-10-25T14:42:22.460,W IND - Sumatra,https://earthquake.usgs.gov/earthquakes/eventpage/usp000hnj4#executive,-3.487,100.082,20.1,20100,7.8,324,8,95,good,5.96E+20,121,44,13.76859504,1666,121000,44000,13768.59504,3.00E+10,3.73,11.91801
us20003k7a,2015-09-16T22:54:32.860,SA - Chile,https://earthquake.usgs.gov/earthquakes/eventpage/us20003k7a#executive,-31.5729,-71.6744,22.4,22400,8.3,353,19,83,"good, tsunami generated, local damage",3.35E+21,395,150,48.47341772,19147,395000,150000,48473.41772,3.00E+10,1.88,5.83147
official20100227063411530_30,2010-02-27T06:34:11.530,SA - Chile,https://earthquake.usgs.gov/earthquakes/eventpage/official20100227063411530_30#executive,-36.122,-72.898,22.9,22900,8.8,17,13,108,"good, tsunami generated, local damage",1.88E+22,586,161,54.83447099,32133,586000,161000,54834.47099,3.00E+10,6.66,19.54013
usp00079zv,1996-01-01T08:05:10.830,E IND - Celebes,https://earthquake.usgs.gov/earthquakes/eventpage/usp00079zv#executive,0.729,119.931,24,24000,7.9,42,9,69,"good, tsunami generated, local damage",8.41E+20,86,67,41.1744186,3541,86000,67000,41174.4186,3.00E+10,4.87,7.9205
usp000bnyr,2003-01-22T02:06:34.610,NA - Mexico,https://earthquake.usgs.gov/earthquakes/eventpage/usp000bnyr#executive,18.77,-104.104,24,24000,7.6,292,20,78,no record of tsunami,2.99E+20,60,67,19.53333333,1172,60000,67000,19533.33333,3.00E+10,2.48,8.49085
usp000f83m,2007-04-01T20:39:58.710,PNG - Solomon Islands,https://earthquake.usgs.gov/earthquakes/eventpage/usp000f83m#executive,-8.466,157.043,24,24000,8.1,322,29,101,"good, tsunami generated",1.68E+21,191,92,58.42408377,11159,191000,92000,58424.08377,3.00E+10,3.18,5.0148
