,Unnamed: 0,Balikpapan height,Bontang height,Tandjoengbatoe height,Tarakan height,Tawau height,Semporna height,Bongao Island height,Zamboanga height,Pagadian height,General Santos height,Tahuna height,Manado height,Boroko height,Genluma height,Boeol height,Tolotoli height,Palu height,Davao height
0,0,0.1131390000000003,0.3079140000000002,0.4313696,0.165367999999999,0.2901483000000002,0.1848147999999998,0.1921730000000003,0.3335989999999995,1.0845079999999996,0.8445499999999981,0.3030499999999989,0.7395579999999988,0.9709719999999996,1.3573442,0.4442870000000027,0.6276860000000006,0.1707290000000014,0.2672179999999997
2,1,0.0829120000000003,0.2229140000000011,0.2501331999999996,0.1225489999999993,0.2492653000000011,0.1442573,0.2347679999999989,0.2332930000000033,0.8579849999999993,0.5884499999999946,0.2174399999999963,0.3617179999999997,0.2454409999999995,0.7858077999999997,0.4555440000000033,0.5795670000000008,0.1420950000000047,0.307271
5,2,0.1131470000000014,0.2715790000000009,0.3062510999999999,0.1528799999999996,0.3117913000000012,0.1735839000000001,0.2891310000000011,0.2832000000000008,0.964586999999998,0.656329999999997,0.2972400000000021,0.4870540000000005,0.4446449999999977,1.0858181999999994,0.6594369999999969,0.7278699999999994,0.1733550000000008,0.3176429999999968
9,3,0.1307140000000011,0.3254780000000004,0.3518870999999999,0.1785689999999995,0.3540233000000015,0.1953917999999999,0.3061599999999984,0.2951720000000009,1.0560289999999988,0.6906999999999925,0.3013600000000025,0.5440599999999982,0.5485769999999981,1.1304901000000005,0.7244200000000092,0.8544009999999993,0.1887000000000043,0.3045070000000009
14,4,0.1217420000000011,0.2958160000000003,0.3281244999999995,0.1644069999999988,0.3319963000000001,0.1835863999999998,0.2963680000000011,0.3051310000000029,1.0360769999999988,0.6884199999999794,0.2867800000000073,0.4972639999999977,0.4311350000000011,1.0925963999999997,0.6474759999999975,0.7863839999999982,0.1831870000000037,0.3362479999999976
20,5,-9.9999e+98,0.1105,0.1863174999999994,0.0820689999999988,0.1480963000000006,0.1022306999999997,0.1397440000000003,0.180771,0.662427000000001,0.4981099999999969,0.214349999999996,0.3176559999999995,0.2790330000000018,0.6657817000000006,0.3032330000000058,0.4265359999999987,0.0997109999999992,0.2455409999999958
27,6,0.074703000000003,0.1856609999999996,0.2293066000000001,0.1134120000000002,0.2288273000000007,0.1353094999999999,0.2204119999999996,0.2335029999999989,0.8191759999999988,0.5658499999999833,0.2229499999999973,0.3961459999999981,0.3013140000000014,0.7420686999999999,0.3674610000000058,0.5523249999999997,0.1350240000000013,0.2929219999999972
35,7,0.1028300000000008,0.2330550000000002,0.2704437999999998,0.1371330000000004,0.276435300000001,0.1604497,0.2523599999999995,0.276175000000002,0.9269010000000008,0.6237199999999916,0.2729599999999976,0.4277289999999993,0.418330000000001,1.0235458999999991,0.5297460000000029,0.6612679999999997,0.1640730000000019,0.3099179999999961
44,8,0.085448000000003,0.2165230000000004,0.2486085999999998,0.124314,0.2507483000000015,0.1471032000000001,0.2360359999999985,0.2505880000000005,0.8834559999999989,0.6008899999999926,0.2316500000000019,0.4023229999999991,0.2684300000000021,0.8615386999999997,0.4610480000000052,0.6093289999999989,0.1476240000000004,0.3212630000000018
54,9,0.080485000000003,0.1799940000000006,0.2414046999999994,0.1152090000000001,0.2244153000000004,0.1390641999999999,0.1963900000000009,0.2413390000000035,0.8023549999999986,0.5414899999999818,0.213719999999995,0.3853550000000005,0.3822720000000004,0.8942481000000004,0.433211,0.5851000000000006,0.1419160000000019,0.270111
64,10,0.0759910000000019,0.1657229999999998,0.2392219999999998,0.1073819999999994,0.2079803000000009,0.1315265000000001,0.1920649999999995,0.238781000000003,0.8105499999999992,0.5598499999999831,0.2082199999999971,0.3686399999999992,0.3879399999999968,0.8086140000000004,0.3702170000000109,0.5487450000000003,0.1303699999999992,0.2809489999999996
