OBJECTID,Shape_Length,START_X,START_Y,END_X,END_Y ,Azimuth,CenterLong,CenterLat,Strike
1,0.008964,120.519996,-6.794426,120.523974,-6.786393,26.344874,120.521985,-6.790409,206.344874
2,0.008964,120.523974,-6.786393,120.527912,-6.77834,26.05612,120.525943,-6.782366,206.05612
3,0.008964,120.527912,-6.77834,120.531808,-6.770267,25.765521,120.52986,-6.774303,205.765521
4,0.008964,120.531808,-6.770267,120.535664,-6.762174,25.4731,120.533736,-6.76622,205.4731
5,0.008964,120.535664,-6.762174,120.539478,-6.754062,25.178847,120.537571,-6.758118,205.178847
6,0.008964,120.539478,-6.754062,120.543249,-6.745929,24.882792,120.541364,-6.749996,204.882792
7,0.008964,120.543249,-6.745929,120.546979,-6.737778,24.584928,120.545114,-6.741854,204.584928
8,0.008964,120.546979,-6.737778,120.550666,-6.729607,24.285294,120.548822,-6.733692,204.285294
9,0.008964,120.550666,-6.729607,120.554309,-6.721417,23.98388,120.552488,-6.725512,203.98388
10,0.008964,120.554309,-6.721417,120.55791,-6.713207,23.680716,120.55611,-6.717312,203.680716
11,0.008964,120.55791,-6.713207,120.561466,-6.704979,23.375809,120.559688,-6.709093,203.375809
12,0.008964,120.561466,-6.704979,120.564979,-6.696732,23.069183,120.563223,-6.700855,203.069183
13,0.008964,120.564979,-6.696732,120.568447,-6.688466,22.760847,120.566713,-6.692599,202.760847
14,0.008964,120.568447,-6.688466,120.57187,-6.680181,22.450838,120.570159,-6.684323,202.450838
15,0.008964,120.57187,-6.680181,120.575249,-6.671877,22.139146,120.57356,-6.676029,202.139146
16,0.008964,120.575249,-6.671877,120.578581,-6.663556,21.825835,120.576915,-6.667717,201.825835
17,0.008964,120.578581,-6.663556,120.581868,-6.655216,21.510888,120.580225,-6.659386,201.510888
18,0.008964,120.581868,-6.655216,120.585109,-6.646858,21.194342,120.583489,-6.651037,201.194342
19,0.008964,120.585109,-6.646858,120.588304,-6.638482,20.876227,120.586706,-6.64267,200.876227
20,0.008964,120.588304,-6.638482,120.591451,-6.630089,20.556567,120.589877,-6.634286,200.556567
21,0.008964,120.591451,-6.630089,120.594552,-6.621678,20.235379,120.593002,-6.625884,200.235379
22,0.008964,120.594552,-6.621678,120.597605,-6.61325,19.9127,120.596078,-6.617464,199.9127
23,0.008964,120.597605,-6.61325,120.60061,-6.604805,19.588567,120.599108,-6.609027,199.588567
24,0.008964,120.60061,-6.604805,120.603568,-6.596342,19.26299,120.602089,-6.600573,199.26299
25,0.008964,120.603568,-6.596342,120.606477,-6.587863,18.936005,120.605022,-6.592103,198.936005
26,0.008964,120.606477,-6.587863,120.609337,-6.579368,18.60766,120.607907,-6.583615,198.60766
27,0.008964,120.609337,-6.579368,120.612148,-6.570856,18.277973,120.610743,-6.575112,198.277973
28,0.008964,120.612148,-6.570856,120.614911,-6.562328,17.946978,120.613529,-6.566592,197.946978
29,0.008964,120.614911,-6.562328,120.617623,-6.553784,17.61472,120.616267,-6.558056,197.61472
30,0.008964,120.617623,-6.553784,120.620286,-6.545224,17.28124,120.618955,-6.549504,197.28124
