,latitude,longitude,length,width,slip,strike,dip,depth,rake,depth_offset
0,-5.91496,131.552,282360.9744261146,148606.65327050528,21.139615461018487,204.91870567792006,22.341090079121425,28000.011876490506,90,-0.151122
1,-7.95,130.25,389162.9002373232,140902.58885596698,1.5722221029862997,245.193939209,11.6022520065,12534.3675613,90,-5.247374634283558
2,-3.65,130.55,37630.0432647526,44158.74403325425,0.322306297699625,114.425605774,13.7312698364,14860.906601,90,1.5118424737558345
3,-4.6,131.55,76381.40155996144,80490.05490309192,0.15210710345976564,144.050506592,19.3748493195,24600.692749,90,4.1050089702390995
4,-7.65,130.2,27657.728398489842,60415.57354026136,0.25701028459188674,240.789550781,21.2491664886,21783.7619781,90,3.7530864428216972
5,-4.45,130.8,385021.97891043714,311773.6128360328,11.92890234117972,123.427711487,29.4152545929,42929.18396,90,-1.444098606033259
6,-8.0,127.2,80622.91198188686,85424.0435438311,0.12454564040739263,256.725372314,51.7011871338,55797.473907499996,90,3.5912856082385813
7,-7.45,131.6,374196.88244296407,66022.16467741052,7.127940608590502,215.405441284,4.94438648224,5587.91017532,90,5.319017560723571
8,-6.2,131.0,61794.59247994611,32696.92905938212,0.6009193892186726,208.718276978,34.1734466553,48042.7055359,90,-2.667332297147998
9,-2.55,131.5,49179.93002863295,23362.276747514017,0.22604652141974388,,,,90,0.5600379004428667
10,-5.5,131.5,60886.22257155435,79368.65905302412,0.4658393258826386,188.317398071,24.3171443939,36203.7315369,90,3.205672721732706
11,-5.5,127.2,160754.1609369181,120497.62215665255,2.176628755809602,145.201507568,41.3626937866,389540.40527299995,90,-7.91801562518239
12,-8.15,129.95,60381.400404275526,51931.80412068431,0.5878611949166677,250.65814209,10.0797605515,10786.047935499999,90,1.8156825233975147
13,-7.6,130.35,47092.28920924041,24129.075592806752,0.22401026600224413,237.330978394,19.7597904205,20592.3843384,90,-1.5443136179323271
14,-3.35,131.0,59519.200165910326,19700.23474610732,0.7150275441847445,116.830162048,5.71454763412,6889.45245743,90,-7.439856521091029
15,-2.35,131.1,261100.47807258044,207240.05515019962,1.2786612847821324,,,,90,2.7263788361203636
16,-8.2,130.55,197602.31455431477,140137.98823158373,1.5635326603424553,244.050170898,5.79660320282,6995.0799942,90,2.4433734858528258
17,-2.7,129.65,21785.986943770586,50618.574734486814,0.19322966304573747,105.01751709,4.04093933105,5392.51804352,90,4.25044133899981
18,-5.45,126.2,75661.12924027193,21024.937727619537,0.15754955253918398,138.149780273,42.1891937256,455813.50708,90,-0.6807339156044184
19,-6.75,127.75,160537.2415016171,52551.60297769213,0.5674520785478318,238.854064941,59.7765426636,276316.98608400003,90,3.2191766161912856
20,-6.55,127.1,38167.61932498806,40092.8118456953,0.11758925340963255,230.958953857,56.8460540771,370918.67065399996,90,-1.3764791139894674
